id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1707764,"C1 Porch, beach, pool, bikes, kayaks! 3BR/2BA",1120393,Barbara,Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,611,3,23,2024-02-23,0.19,24,253,0,
1798242,Chila's  Beach View Studio,9430792,Chila,Belize,Belize Islands,17.7477,-88.02395,Entire home/apt,163,3,281,2025-03-15,2.05,4,300,18,
1847763,"B2 Beach, bikes, kayaks, pool! 3BR/2BA",1120393,Barbara,Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,746,3,37,2025-02-28,0.33,24,286,9,
1877094,"A6 Beach, bikes, kayaks, pool! 3BR",1120393,Barbara,Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,611,3,26,2023-01-09,0.20,24,281,0,
1958217,"A2 1BR-pool, beach, kayaks, bikes!",1120393,Barbara,Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,471,3,29,2024-01-05,0.24,24,160,0,
1959706,"C3 Balcony, kayaks, bikes, beach, pool! 3BR/2BA",1120393,Barbara,Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,611,3,51,2024-10-10,0.38,24,281,5,
2050451,Weezie's Yellow Cottage with pool,6334784,Tom,Belize,Belize Islands,17.73823,-88.02852,Entire home/apt,842,3,29,2024-11-25,0.22,13,158,3,
2060320,Marin's Guesthouse Sun Units,10546084,Michele,Belize,Belize Islands,17.74053,-88.02483,Entire home/apt,151,2,51,2020-03-09,0.38,8,0,0,
2095863,Beautiful ArtisticTropical Home,10691980,Christopher,Toledo,Toledo Mainland,16.09454,-88.92282,Entire home/apt,,2,0,,,1,0,0,
2145564,A Kool Room,2066467,Marta,Cayo,Cayo,17.24995,-88.76157,Entire home/apt,129,2,27,2025-03-05,0.20,4,364,1,
2159828,Bright room with own bathroom,2066467,Marta,Cayo,Cayo,17.25046,-88.76157,Private room,102,7,9,2022-02-01,0.07,4,178,0,
2208686,The Chapel Bungalow @ Maruba Resort,10700587,Franziska,Belize,Belize Mainland,17.91385,-88.34251,Entire home/apt,677,1,1,2017-01-18,0.01,1,365,0,
2278939,"Oceanfront, Beachfront, Best Views! Rooftop Deck.",380888,Linda,Belize,Belize Islands,17.73023,-88.03719,Entire home/apt,282,2,29,2025-03-04,0.22,1,334,4,
2303896,"Sunrise/Sunset w/veranda-kit, ac, WIFI, pool, bike",733857,Jacqueline,Stann Creek,Stann Creek Mainland,16.5253,-88.37041,Entire home/apt,236,7,20,2025-01-30,0.18,5,223,2,
2413466,"A3 1BR pool, beach, & sea out front door!",1120393,Barbara,Belize,Belize Islands,17.89048,-87.97984,Entire home/apt,471,3,15,2024-05-26,0.12,24,297,3,
2419476,"C2 Balcony, beach, pool, bikes, kayaks! 3BR/2BA",1120393,Barbara,Belize,Belize Islands,17.89115,-87.97997,Entire home/apt,611,3,16,2025-03-11,0.12,24,307,3,
2471874,Modern 1 BD With All Amenities,2917510,Carolyn,Belize,Belize Mainland,17.5099,-88.2256,Entire home/apt,,1,9,2023-07-18,0.07,6,0,0,
2473882,Cottage,817242,Michael,Cayo,Cayo,17.16541,-89.0701,Private room,,1,75,2024-02-11,0.61,7,226,0,
2526081,Beachfront Blue Moon Cabana,12934670,Mirko,Stann Creek,Stann Creek Mainland,16.86145,-88.28379,Entire home/apt,363,3,24,2025-01-15,0.27,2,318,4,
